context,source,target
encargado de sucursal,branch manager,encargado de sucursal
gerente sucursal,branch manager,gerente sucursal
gestor sucursal,branch manager,gestor sucursal
jefe de sucursal,branch manager,jefe de sucursal
responsable de diseno y desarrollo,brand development manager,responsable de diseno y desarrollo
director de marca,brand director,director de marca
jefe de marca,brand manager,jefe de marca
responsable marca,brand manager,responsable marca
ayudante reparto,broadcast assistant,ayudante reparto
bolsista,broker,bolsista
corredor plaza,broker,corredor plaza
operador de mercado,broker,operador de mercado
analista presupuesto,budget analyst,analista presupuesto
controller presupuestario,budget controller,controller presupuestario
gestion presupuestos,budget controller,gestion presupuestos
tecnico estudios presupuestos,budget officer,tecnico estudios presupuestos
tecnico gestion presupuestaria,budget officer,tecnico gestion presupuestaria
tecnico edificacion,build technician,tecnico edificacion
aparejador,building engineer,aparejador
oficial mantenimiento edificios,building maintenance,oficial mantenimiento edificios
encargado de mantenimiento de edificios,building maintenance manager,encargado de mantenimiento de edificios
jefe obras servicios,building services,jefe obras servicios
peon servicios,building services,peon servicios
jefe edificacion civil,building surveyor,jefe edificacion civil
tecnico de estudios de obras,building surveyor,tecnico de estudios de obras
tecnico estudios edificacion,building surveyor,tecnico estudios edificacion
conserje edificios,buildings manager,conserje edificios
conductor autobuses,bus driver,conductor autobuses
asesor de negocio,business advisor,asesor de negocio
asesor mercantil,business advisor,asesor mercantil
asesor servicios comerciales,business advisor,asesor servicios comerciales
administrativo pymes,business agent,administrativo pymes
analista negocio,business analyst,analista negocio
analista negocios,business analyst,analista negocios
analista funcional jefe proyecto,business analyst project manager,analista funcional jefe proyecto
consultor empresarial,business consultant,consultor empresarial
consultor negocio,business consultant,consultor negocio
consultoria negocio,business consultant,consultoria negocio
controller de negocio,business controller,controller de negocio
coordinador actividades empresariales,business coordinator,coordinador actividades empresariales
coordinador negocios,business coordinator,coordinador negocios
desarrollador de negocio,business developer,desarrollador de negocio
desarrollador negocios,business developer,desarrollador negocios
desarrollo de negocio,business development,desarrollo de negocio
desarrollo de negoico,business development,desarrollo de negoico
asesor desarrollo empresarial,business development advisor,asesor desarrollo empresarial
analista desarrollo negocio,business development analyst,analista desarrollo negocio
asistente de desarrollo de negocio,business development assistant,asistente de desarrollo de negocio
consultor desarrollo empresarial,business development consultant,consultor desarrollo empresarial
consultor desarrollo negocio,business development consultant,consultor desarrollo negocio
consultoria desarrollo negocio,business development consultant,consultoria desarrollo negocio
director de desarrollo de negocio,business development director,director de desarrollo de negocio
director desarrollo de negocio,business development director,director desarrollo de negocio
director desarrollo negocios,business development director,director desarrollo negocios
director negocio inmobiliario,business development director,director negocio inmobiliario
director unidad promocion desarrollo,business development director,director unidad promocion desarrollo
ejecutivo desarrollo empresarial,business development executive,ejecutivo desarrollo empresarial
ejecutivo desarrollo negocio,business development executive,ejecutivo desarrollo negocio
gestion desarrollo negocio,business development management,gestion desarrollo negocio
gerente desarrollo empresarial,business development manager,gerente desarrollo empresarial
gerente desarrollo negocio,business development manager,gerente desarrollo negocio
gerente desarrollo negocios,business development manager,gerente desarrollo negocios
responsable desarrollo empresarial,business development manager,responsable desarrollo empresarial
director area negocio,business director,director area negocio
director de negocio,business director,director de negocio
director empresarial,business director,director empresarial
director linea negocio,business director,director linea negocio
profesor ingles empresarial,business english teacher,profesor ingles empresarial
ejecutivo negocio,business executive,ejecutivo negocio
perito mercantil,business expert,perito mercantil
abogado departamento mercantil,business lawyer,abogado departamento mercantil
abogado mercantil,business lawyer,abogado mercantil
abogado mercantilista,business lawyer,abogado mercantilista
responsable linea negocio,business line manager,responsable linea negocio
empresario gerente,business manager,empresario gerente
encargado establecimiento,business manager,encargado establecimiento
encargado negocio,business manager,encargado negocio
gerente empresarial,business manager,gerente empresarial
gerente negocio,business manager,gerente negocio
gestor captacion negocio,business manager,gestor captacion negocio
gestor comercios,business manager,gestor comercios
gestor empresarial,business manager,gestor empresarial
jefe de negocio,business manager,jefe de negocio
jefe empresarial,business manager,jefe empresarial
responsable comerciales,business manager,responsable comerciales
responsable negocio,business manager,responsable negocio
responsable negocios,business manager,responsable negocios
oficial negocios,business officer,oficial negocios
empresario,business owner,empresario
propietario comercio,business owner,propietario comercio
analista procesos negocio,business process analyst,analista procesos negocio
consultor estrategia empresarial,business strategist,consultor estrategia empresarial
estrategia desarrollo negocio,business strategist,estrategia desarrollo negocio
jefe equipo comerciales,business team leader,jefe equipo comerciales
